movie_id,company_id,company
28155,6194,"Warner Bros."
26663,6194,"Warner Bros."
86608,6194,"Warner Bros."
80572,8411,"Metro-Goldwyn-Mayer (MGM)"
37710,5,"Columbia Pictures"
37710,694,StudioCanal
45136,306,"Twentieth Century Fox Film Corporation"
130424,8411,"Metro-Goldwyn-Mayer (MGM)"
32234,6194,"Warner Bros."
71395,33,"Universal Pictures"
43114,441,"Columbia Pictures Corporation"
85876,8411,"Metro-Goldwyn-Mayer (MGM)"
31988,4,"Paramount Pictures"
44160,850,Eurimages
46773,328,"TLA Releasing"
49901,4606,"Zweites Deutsches Fernsehen (ZDF)"
46503,308,"The Weinstein Company"
48833,856,"Wild Bunch"
43973,856,"Wild Bunch"
96366,6,"RKO Radio Pictures"
44264,4,"Paramount Pictures"
20526,2,"Walt Disney Pictures"
44009,9349,Film4
104720,306,"Twentieth Century Fox Film Corporation"
111470,8411,"Metro-Goldwyn-Mayer (MGM)"
43318,8411,"Metro-Goldwyn-Mayer (MGM)"
42888,5,"Columbia Pictures"
52445,7036,"CJ Entertainment"
84086,6194,"Warner Bros."
43855,6,"RKO Radio Pictures"
121006,8411,"Metro-Goldwyn-Mayer (MGM)"
62567,8411,"Metro-Goldwyn-Mayer (MGM)"
107592,8411,"Metro-Goldwyn-Mayer (MGM)"
30548,328,"TLA Releasing"
40149,882,"Toho Company"
31300,18367,"Centre National de la Cinématographie (CNC)"
54178,5798,"Shaw Brothers"
36115,2452,"UK Film Council"
36115,9349,Film4
31283,4,"Paramount Pictures"
111390,8411,"Metro-Goldwyn-Mayer (MGM)"
10018,5766,ARTE
35958,6194,"Warner Bros."
41283,97,"Castle Rock Entertainment"
41283,559,"TriStar Pictures"
42984,955,Nikkatsu
31104,955,Nikkatsu
39451,4,"Paramount Pictures"
39451,33,"Universal Pictures"
39451,7295,"Relativity Media"
38745,306,"Twentieth Century Fox Film Corporation"
38745,444,"Dune Entertainment"
102091,8411,"Metro-Goldwyn-Mayer (MGM)"
51143,6181,"Svensk Filmindustri (SF)"
56812,6639,"Televisión Española (TVE)"
56812,9335,"Canal+ España"
80054,6,"RKO Radio Pictures"
161512,6194,"Warner Bros."
56448,3268,"Home Box Office (HBO)"
46207,856,"Wild Bunch"
46207,16804,"France 3 Cinema"
33107,694,StudioCanal
41515,2785,"Warner Bros. Animation"
35392,6194,"Warner Bros."
20531,5070,"Shôchiku Eiga"
39967,5358,Canal+
7210,201,Arte
46138,288,"BBC Films"
46138,2452,"UK Film Council"
54660,4,"Paramount Pictures"
23830,9,Gaumont
42243,33,"Universal Pictures"
27470,4,"Paramount Pictures"
22007,925,"Nu Image Films"
22007,10254,"Millennium Films"
102144,306,"Twentieth Century Fox Film Corporation"
49616,6194,"Warner Bros."
84274,6194,"Warner Bros."
