movie_id,company_id,company
110139,6194,"Warner Bros."
94741,33,"Universal Pictures"
75579,1382,"PolyGram Filmed Entertainment"
45971,4,"Paramount Pictures"
60364,5996,BBC
15044,7429,"HBO Films"
32831,60,"United Artists"
86081,5488,"Fox Film Corporation"
63230,9,Gaumont
86457,5488,"Fox Film Corporation"
50357,7405,"Dimension Films"
159615,306,"Twentieth Century Fox Film Corporation"
71271,4,"Paramount Pictures"
72431,306,"Twentieth Century Fox Film Corporation"
43095,881,"Daiei Studios"
77338,9,Gaumont
77338,3823,"TF1 Films Production"
77338,5358,Canal+
77338,6301,CinéCinéma
54054,126,"Lakeshore Entertainment"
130900,8411,"Metro-Goldwyn-Mayer (MGM)"
19235,328,"TLA Releasing"
78698,33,"Universal Pictures"
78698,10163,"Working Title Films"
122515,6194,"Warner Bros."
52517,5488,"Fox Film Corporation"
118911,4,"Paramount Pictures"
76726,306,"Twentieth Century Fox Film Corporation"
76726,444,"Dune Entertainment"
65086,1314,"Hammer Film Productions"
65086,2452,"UK Film Council"
65086,6417,"Film i Väst"
52850,288,"BBC Films"
67911,5,"Columbia Pictures"
42457,4,"Paramount Pictures"
108688,8411,"Metro-Goldwyn-Mayer (MGM)"
212713,6194,"Warner Bros."
59961,33,"Universal Pictures"
59961,7295,"Relativity Media"
72570,3287,"Screen Gems"
76399,9266,"American International Pictures (AIP)"
94209,8411,"Metro-Goldwyn-Mayer (MGM)"
72338,3245,"First National Pictures"
130090,6194,"Warner Bros."
29268,5070,"Shôchiku Eiga"
54146,882,"Toho Company"
108222,306,"Twentieth Century Fox Film Corporation"
91181,6,"RKO Radio Pictures"
72545,12,"New Line Cinema"
51999,76,"Zentropa Entertainments"
51999,288,"BBC Films"
51999,6417,"Film i Väst"
84259,8411,"Metro-Goldwyn-Mayer (MGM)"
29564,10163,"Working Title Films"
110603,306,"Twentieth Century Fox Film Corporation"
96771,6194,"Warner Bros."
71676,5,"Columbia Pictures"
53798,6,"RKO Radio Pictures"
