movie_id,director
52470,"Henry Koster"
1718,"Michael Curtiz"
78256,"Edward Dmytryk"
9684,"Woody Allen"
33015,"Buster Keaton"
5652,"Robert Altman"
32628,"Edward F. Cline"
32628,"Buster Keaton"
11900,"Werner Herzog"
22692,"William A. Wellman"
32600,"Buster Keaton"
1883,"Spike Lee"
28978,"Charlie Chaplin"
901,"Charlie Chaplin"
36208,"Charlie Chaplin"
10098,"Charlie Chaplin"
18264,"Anthony Mann"
2155,"John Frankenheimer"
11016,"John Huston"
24481,"George Cukor"
968,"Sidney Lumet"
16958,"John Huston"
3114,"John Ford"
26928,"Joseph Sargent"
22178,"Fritz Lang"
43463,"Anthony Mann"
8333,"Joseph Sargent"
918,"Blake Edwards"
23928,"Raoul Walsh"
27995,"Spike Lee"
36739,"Spike Lee"
925,"Spike Lee"
41823,"Spike Lee"
1713,"Spike Lee"
26263,"J. Lee Thompson"
3082,"Charlie Chaplin"
52961,"Blake Edwards"
840,"Steven Spielberg"
6644,"Howard Hawks"
879,"Steven Spielberg"
17529,"Henry Hathaway"
10774,"Sidney Lumet"
10747,"Clint Eastwood"
46625,"Wim Wenders"
28971,"Charlie Chaplin"
18228,"Norman Taurog"
18642,"Norman Taurog"
39391,"Mervyn LeRoy"
18644,"Michael Curtiz"
10569,"Woody Allen"
962,"Charlie Chaplin"
30588,"Charlie Chaplin"
23518,"John Frankenheimer"
28973,"Charlie Chaplin"
28974,"Charlie Chaplin"
40639,"Raoul Walsh"
24920,"Lucio Fulci"
10911,"J. Lee Thompson"
46614,"William A. Wellman"
13368,"Michael Curtiz"
2075,"John Huston"
32047,"Sidney Lumet"
9040,"Sidney Lumet"
5121,"Steven Spielberg"
90980,"John Huston"
90980,"King Vidor"
20540,"Sidney Lumet"
32275,"King Vidor"
18118,"J. Lee Thompson"
11624,"Woody Allen"
15867,"Woody Allen"
11686,"Woody Allen"
5551,"Clint Eastwood"
21866,"Clint Eastwood"
23618,"Spike Lee"
10434,"Wim Wenders"
2161,"Richard Fleischer"
911,"Edward F. Cline"
24664,"Spike Lee"
10763,"Robert Altman"
19204,"Lucio Fulci"
15739,"John Huston"
31563,"Michael Apted"
39507,"John Huston"
10110,"Steven Spielberg"
580,"Joseph Sargent"
84499,"Richard Fleischer"
318,"Wim Wenders"
19490,"Henry Koster"
26580,"Spike Lee"
32488,"Blake Edwards"
42233,"Robert Altman"
17664,"John Ford"
301,"Howard Hawks"
5923,"Robert Wise"
759,"Howard Hawks"
644,"Steven Spielberg"
8217,"Woody Allen"
22478,"Woody Allen"
24382,"Mario Monicelli"
15875,"John Ford"
26573,"Norman Taurog"
23439,"Roger Corman"
11697,"John Ford"
22477,"Woody Allen"
19200,"Woody Allen"
16211,"Henry Hathaway"
32569,"Roger Corman"
28794,"Lucio Fulci"
10238,"Ingmar Bergman"
11536,"John Huston"
10339,"John Huston"
24679,"Clint Eastwood"
10130,"Michael Apted"
18197,"Sidney Lumet"
38560,"Blake Edwards"
11352,"Steven Spielberg"
10134,"Albert Pyun"
4925,"John Frankenheimer"
10551,"Sidney Lumet"
9686,"Woody Allen"
9686,"Martin Scorsese"
12478,"Blake Edwards"
11385,"Howard Hawks"
2779,"Woody Allen"
5998,"Fritz Lang"
33725,"Frank Capra"
9660,"Blake Edwards"
15393,"Clint Eastwood"
248,"Frank Capra"
16769,"Michael Apted"
50785,"Jean-Luc Godard"
269,"Jean-Luc Godard"
31037,"Joseph Sargent"
40739,"Edward Dmytryk"
39938,"George Cukor"
35284,"Edward Dmytryk"
17689,"Clint Eastwood"
10650,"Clint Eastwood"
35201,"John Frankenheimer"
10794,"Blake Edwards"
5279,"Robert Altman"
14580,"Fritz Lang"
61934,"John Ford"
9610,"Richard Fleischer"
11710,"Werner Herzog"
27378,"Werner Herzog"
57976,"Werner Herzog"
651,"Robert Altman"
20620,"John Frankenheimer"
43340,"Gordon Douglas"
69928,"Blake Edwards"
32499,"Vincente Minnelli"
33668,"Vincente Minnelli"
11698,"Werner Herzog"
614,"Ingmar Bergman"
7219,"Lucio Fulci"
17058,"Fritz Lang"
15310,"Richard Fleischer"
8690,"Umberto Lenzi"
24248,"Richard Fleischer"
22784,"Martin Scorsese"
53426,"J. Lee Thompson"
10491,"Michael Apted"
52717,"Jean-Luc Godard"
28384,"Woody Allen"
9689,"Woody Allen"
28577,"Robert Wise"
13963,"Martin Scorsese"
1957,"Michael Apted"
24014,"George Cukor"
24008,"Howard Hawks"
36554,"Robert Wise"
4993,"Henry Hathaway"
21635,"Anatole Litvak"
27225,"Blake Edwards"
13909,"John Ford"
180,"Steven Spielberg"
42254,"Rainer Werner Fassbinder"
10309,"Rainer Werner Fassbinder"
6404,"Werner Herzog"
24130,"Gordon Douglas"
9573,"Clint Eastwood"
10305,"Claude Chabrol"
28319,"Umberto Lenzi"
64079,"John Frankenheimer"
19049,"Clarence Brown"
68569,"Werner Herzog"
8691,"Umberto Lenzi"
26560,"Michael Apted"
37936,"J. Lee Thompson"
265,"Rainer Werner Fassbinder"
